

[1/10000] -  loss: 166041.938, mean of ED: 20.374
loss: 65309.559, mean of ED: 30.765

[2/10000] -  loss: 160142.906, mean of ED: 20.009
loss: 64964.918, mean of ED: 30.684

[3/10000] -  loss: 154459.078, mean of ED: 19.651
loss: 64612.793, mean of ED: 30.601

[4/10000] -  loss: 148989.453, mean of ED: 19.300
loss: 64251.113, mean of ED: 30.515

[5/10000] -  loss: 143731.531, mean of ED: 18.956
loss: 63877.051, mean of ED: 30.426

[6/10000] -  loss: 138680.844, mean of ED: 18.620
loss: 63486.727, mean of ED: 30.333

[7/10000] -  loss: 133830.031, mean of ED: 18.291
loss: 63076.211, mean of ED: 30.235

[8/10000] -  loss: 129169.047, mean of ED: 17.970
loss: 62642.719, mean of ED: 30.131

[9/10000] -  loss: 124686.016, mean of ED: 17.655
loss: 62185.137, mean of ED: 30.021

[10/10000] -  loss: 120368.938, mean of ED: 17.347
loss: 61703.766, mean of ED: 29.904

[11/10000] -  loss: 116207.375, mean of ED: 17.045
loss: 61199.449, mean of ED: 29.782

[12/10000] -  loss: 112193.172, mean of ED: 16.748
loss: 60672.887, mean of ED: 29.653

[13/10000] -  loss: 108320.578, mean of ED: 16.456
loss: 60124.234, mean of ED: 29.519

[14/10000] -  loss: 104585.906, mean of ED: 16.170
loss: 59553.039, mean of ED: 29.378

[15/10000] -  loss: 100986.844, mean of ED: 15.889
loss: 58958.340, mean of ED: 29.231

[16/10000] -  loss: 97522.039, mean of ED: 15.614
loss: 58338.754, mean of ED: 29.077

[17/10000] -  loss: 94190.227, mean of ED: 15.345
loss: 57692.855, mean of ED: 28.916

[18/10000] -  loss: 90990.172, mean of ED: 15.082
loss: 57019.215, mean of ED: 28.747

[19/10000] -  loss: 87919.984, mean of ED: 14.826
loss: 56316.566, mean of ED: 28.569

[20/10000] -  loss: 84976.906, mean of ED: 14.575
loss: 55583.859, mean of ED: 28.382

[21/10000] -  loss: 82157.188, mean of ED: 14.332
loss: 54820.316, mean of ED: 28.187

[22/10000] -  loss: 79455.938, mean of ED: 14.094
loss: 54025.473, mean of ED: 27.982

[23/10000] -  loss: 76867.406, mean of ED: 13.862
loss: 53199.238, mean of ED: 27.767

[24/10000] -  loss: 74385.062, mean of ED: 13.637
loss: 52341.977, mean of ED: 27.542

[25/10000] -  loss: 72002.055, mean of ED: 13.417
loss: 51454.527, mean of ED: 27.308

[26/10000] -  loss: 69711.719, mean of ED: 13.201
loss: 50538.297, mean of ED: 27.064

[27/10000] -  loss: 67507.766, mean of ED: 12.991
loss: 49595.195, mean of ED: 26.810

[28/10000] -  loss: 65384.641, mean of ED: 12.785
loss: 48627.523, mean of ED: 26.547

[29/10000] -  loss: 63337.551, mean of ED: 12.583
loss: 47637.945, mean of ED: 26.276

[30/10000] -  loss: 61362.438, mean of ED: 12.386
loss: 46629.250, mean of ED: 25.996

[31/10000] -  loss: 59455.836, mean of ED: 12.192
loss: 45604.324, mean of ED: 25.709

[32/10000] -  loss: 57614.676, mean of ED: 12.002
loss: 44566.023, mean of ED: 25.414

[33/10000] -  loss: 55836.137, mean of ED: 11.815
loss: 43517.039, mean of ED: 25.113

[34/10000] -  loss: 54117.441, mean of ED: 11.632
loss: 42459.922, mean of ED: 24.806

[35/10000] -  loss: 52455.805, mean of ED: 11.452
loss: 41396.988, mean of ED: 24.494

[36/10000] -  loss: 50848.281, mean of ED: 11.275
loss: 40330.336, mean of ED: 24.176

[37/10000] -  loss: 49291.828, mean of ED: 11.101
loss: 39261.840, mean of ED: 23.854

[38/10000] -  loss: 47783.379, mean of ED: 10.930
loss: 38193.215, mean of ED: 23.527

[39/10000] -  loss: 46319.875, mean of ED: 10.761
loss: 37126.027, mean of ED: 23.196

[40/10000] -  loss: 44898.391, mean of ED: 10.595
loss: 36061.738, mean of ED: 22.861

[41/10000] -  loss: 43516.289, mean of ED: 10.430
loss: 35001.809, mean of ED: 22.523

[42/10000] -  loss: 42171.234, mean of ED: 10.268
loss: 33947.680, mean of ED: 22.181

[43/10000] -  loss: 40861.297, mean of ED: 10.107
loss: 32900.812, mean of ED: 21.836

[44/10000] -  loss: 39584.945, mean of ED: 9.948
loss: 31862.695, mean of ED: 21.489

[45/10000] -  loss: 38340.949, mean of ED: 9.790
loss: 30834.854, mean of ED: 21.140

[46/10000] -  loss: 37128.383, mean of ED: 9.634
loss: 29818.770, mean of ED: 20.788

[47/10000] -  loss: 35946.488, mean of ED: 9.480
loss: 28815.934, mean of ED: 20.436

[48/10000] -  loss: 34794.633, mean of ED: 9.327
loss: 27827.742, mean of ED: 20.082

[49/10000] -  loss: 33672.230, mean of ED: 9.175
loss: 26855.521, mean of ED: 19.728

[50/10000] -  loss: 32578.695, mean of ED: 9.025
loss: 25900.506, mean of ED: 19.374

[51/10000] -  loss: 31513.461, mean of ED: 8.876
loss: 24963.777, mean of ED: 19.021

[52/10000] -  loss: 30475.953, mean of ED: 8.729
loss: 24046.303, mean of ED: 18.668

[53/10000] -  loss: 29465.648, mean of ED: 8.583
loss: 23148.908, mean of ED: 18.316

[54/10000] -  loss: 28482.049, mean of ED: 8.438
loss: 22272.297, mean of ED: 17.966

[55/10000] -  loss: 27524.752, mean of ED: 8.295
loss: 21417.041, mean of ED: 17.618

[56/10000] -  loss: 26593.432, mean of ED: 8.154
loss: 20583.594, mean of ED: 17.272

[57/10000] -  loss: 25687.809, mean of ED: 8.014
loss: 19772.299, mean of ED: 16.928

[58/10000] -  loss: 24807.676, mean of ED: 7.875
loss: 18983.424, mean of ED: 16.587

[59/10000] -  loss: 23952.824, mean of ED: 7.738
loss: 18217.117, mean of ED: 16.249

[60/10000] -  loss: 23123.035, mean of ED: 7.603
loss: 17473.465, mean of ED: 15.913

[61/10000] -  loss: 22318.051, mean of ED: 7.470
loss: 16752.479, mean of ED: 15.582

[62/10000] -  loss: 21537.566, mean of ED: 7.338
loss: 16054.097, mean of ED: 15.253

[63/10000] -  loss: 20781.205, mean of ED: 7.208
loss: 15378.211, mean of ED: 14.929

[64/10000] -  loss: 20048.539, mean of ED: 7.080
loss: 14724.654, mean of ED: 14.608

[65/10000] -  loss: 19339.107, mean of ED: 6.953
loss: 14093.221, mean of ED: 14.292

[66/10000] -  loss: 18652.420, mean of ED: 6.829
loss: 13483.660, mean of ED: 13.979

[67/10000] -  loss: 17987.986, mean of ED: 6.706
loss: 12895.687, mean of ED: 13.671

[68/10000] -  loss: 17345.316, mean of ED: 6.585
loss: 12328.979, mean of ED: 13.367

[69/10000] -  loss: 16723.938, mean of ED: 6.466
loss: 11783.190, mean of ED: 13.068

[70/10000] -  loss: 16123.379, mean of ED: 6.349
loss: 11257.936, mean of ED: 12.773

[71/10000] -  loss: 15543.172, mean of ED: 6.234
loss: 10752.816, mean of ED: 12.484

[72/10000] -  loss: 14982.851, mean of ED: 6.120
loss: 10267.398, mean of ED: 12.198

[73/10000] -  loss: 14441.946, mean of ED: 6.009
loss: 9801.229, mean of ED: 11.918

[74/10000] -  loss: 13919.959, mean of ED: 5.899
loss: 9353.832, mean of ED: 11.643

[75/10000] -  loss: 13416.388, mean of ED: 5.791
loss: 8924.714, mean of ED: 11.373

[76/10000] -  loss: 12930.714, mean of ED: 5.686
loss: 8513.365, mean of ED: 11.108

[77/10000] -  loss: 12462.427, mean of ED: 5.582
loss: 8119.264, mean of ED: 10.848

[78/10000] -  loss: 12011.002, mean of ED: 5.480
loss: 7741.874, mean of ED: 10.593

[79/10000] -  loss: 11575.940, mean of ED: 5.380
loss: 7380.652, mean of ED: 10.342

[80/10000] -  loss: 11156.746, mean of ED: 5.281
loss: 7035.042, mean of ED: 10.097

[81/10000] -  loss: 10752.941, mean of ED: 5.185
loss: 6704.488, mean of ED: 9.857

[82/10000] -  loss: 10364.056, mean of ED: 5.090
loss: 6388.432, mean of ED: 9.622

[83/10000] -  loss: 9989.643, mean of ED: 4.997
loss: 6086.314, mean of ED: 9.392

[84/10000] -  loss: 9629.256, mean of ED: 4.906
loss: 5797.584, mean of ED: 9.166

[85/10000] -  loss: 9282.453, mean of ED: 4.817
loss: 5521.695, mean of ED: 8.946

[86/10000] -  loss: 8948.809, mean of ED: 4.730
loss: 5258.123, mean of ED: 8.730

[87/10000] -  loss: 8627.897, mean of ED: 4.644
loss: 5006.351, mean of ED: 8.518

[88/10000] -  loss: 8319.305, mean of ED: 4.561
loss: 4765.889, mean of ED: 8.311

[89/10000] -  loss: 8022.624, mean of ED: 4.478
loss: 4536.266, mean of ED: 8.108

[90/10000] -  loss: 7737.462, mean of ED: 4.398
loss: 4317.038, mean of ED: 7.910

[91/10000] -  loss: 7463.444, mean of ED: 4.320
loss: 4107.777, mean of ED: 7.716

[92/10000] -  loss: 7200.200, mean of ED: 4.243
loss: 3908.085, mean of ED: 7.526

[93/10000] -  loss: 6947.380, mean of ED: 4.168
loss: 3717.578, mean of ED: 7.340

[94/10000] -  loss: 6704.641, mean of ED: 4.094
loss: 3535.890, mean of ED: 7.159

[95/10000] -  loss: 6471.649, mean of ED: 4.022
loss: 3362.672, mean of ED: 6.981

[96/10000] -  loss: 6248.082, mean of ED: 3.952
loss: 3197.590, mean of ED: 6.807

[97/10000] -  loss: 6033.623, mean of ED: 3.884
loss: 3040.318, mean of ED: 6.638

[98/10000] -  loss: 5827.958, mean of ED: 3.817
loss: 2890.541, mean of ED: 6.472

[99/10000] -  loss: 5630.782, mean of ED: 3.752
loss: 2747.951, mean of ED: 6.311

[100/10000] -  loss: 5441.802, mean of ED: 3.688
loss: 2612.252, mean of ED: 6.153

[101/10000] -  loss: 5260.726, mean of ED: 3.627
loss: 2483.150, mean of ED: 5.999

[102/10000] -  loss: 5087.272, mean of ED: 3.566
loss: 2360.365, mean of ED: 5.849

[103/10000] -  loss: 4921.170, mean of ED: 3.508
loss: 2243.620, mean of ED: 5.702

[104/10000] -  loss: 4762.151, mean of ED: 3.450
loss: 2132.648, mean of ED: 5.559

[105/10000] -  loss: 4609.959, mean of ED: 3.395
loss: 2027.193, mean of ED: 5.420

[106/10000] -  loss: 4464.343, mean of ED: 3.341
loss: 1927.003, mean of ED: 5.285

[107/10000] -  loss: 4325.056, mean of ED: 3.288
loss: 1831.842, mean of ED: 5.153

[108/10000] -  loss: 4191.861, mean of ED: 3.237
loss: 1741.480, mean of ED: 5.024

[109/10000] -  loss: 4064.528, mean of ED: 3.188
loss: 1655.699, mean of ED: 4.899

